ID,1,2,3,4,5,Model,Polarization
46218,0,9,50,36,5,ER α=0.5,0.28803875855877137
55532,0,12,1,77,10,ER α=0.5,0.24808455280225425
86485,0,20,21,24,35,ER α=0.5,0.4519181657973392
99709,0,24,31,15,30,ER α=0.5,0.4642643680108224
117051,0,30,53,11,6,ER α=0.5,0.3048692028673991
121181,0,32,26,16,26,ER α=0.5,0.47406064698313743
135994,0,39,14,30,17,ER α=0.5,0.46680786987909895
158070,0,53,21,21,5,ER α=0.5,0.377344515068026
165038,0,60,15,18,7,ER α=0.5,0.38094742725654424
204938,1,5,57,8,29,ER α=0.5,0.40824066832834993
207346,1,6,19,60,14,ER α=0.5,0.27930606810042446
209228,1,6,51,38,4,ER α=0.5,0.2804131397064079
222474,1,9,59,31,0,ER α=0.5,0.2570752802146124
256523,1,18,65,6,10,ER α=0.5,0.2854598123088325
277655,1,25,40,34,0,ER α=0.5,0.33729972715774337
285951,1,28,44,2,25,ER α=0.5,0.46060158095146153
289962,1,30,16,51,2,ER α=0.5,0.3983307036831598
291050,1,30,44,5,20,ER α=0.5,0.42234476489223305
320307,1,45,23,4,27,ER α=0.5,0.5201768523219968
329054,1,52,2,8,37,ER α=0.5,0.646111912577274
329375,1,52,9,28,10,ER α=0.5,0.4534572349698116
329459,1,52,11,35,1,ER α=0.5,0.42591507102918474
338011,1,61,3,6,29,ER α=0.5,0.5891466305221266
370012,2,4,27,37,30,ER α=0.5,0.3628241678246868
387009,2,8,19,16,55,ER α=0.5,0.41346340080726557
396212,2,10,34,31,23,ER α=0.5,0.37832594346415743
414703,2,15,25,42,16,ER α=0.5,0.3664370855644106
442805,2,24,10,49,15,ER α=0.5,0.41062322774169324
466469,2,33,25,34,6,ER α=0.5,0.39325548586641157
479799,2,40,10,43,5,ER α=0.5,0.44448690600472207
503782,2,59,1,21,17,ER α=0.5,0.5120274028267162
505713,2,61,12,2,23,ER α=0.5,0.502476780232095
505780,2,61,14,18,5,ER α=0.5,0.36153612959278025
511590,2,72,1,16,9,ER α=0.5,0.3903879089355367
519443,3,0,63,21,13,ER α=0.5,0.30679479304300555
522523,3,1,29,64,3,ER α=0.5,0.25659868458990515
534019,3,3,93,1,0,ER α=0.5,0.07483650059577251
559493,3,10,0,72,15,ER α=0.5,0.29035109483122745
572552,3,13,22,7,55,ER α=0.5,0.48665381049579604
580576,3,15,37,40,5,ER α=0.5,0.3352783905356693
608012,3,24,22,14,37,ER α=0.5,0.5008762304909178
621502,3,29,33,7,28,ER α=0.5,0.484678272209998
624293,3,30,47,17,3,ER α=0.5,0.316159414678401
679700,4,0,34,62,0,ER α=0.5,0.27129096331132313
694022,4,3,43,13,37,ER α=0.5,0.4475867470463189
704176,4,6,2,11,77,ER α=0.5,0.31103132657635585
716600,4,9,3,69,15,ER α=0.5,0.2994984178113236
738746,4,15,3,37,41,ER α=0.5,0.4356870591726539
748451,4,18,0,21,57,ER α=0.5,0.4830198702973102
785229,4,31,31,14,20,ER α=0.5,0.4390889416281843
804572,4,42,1,27,26,ER α=0.5,0.5598719107107002
806966,4,43,21,12,20,ER α=0.5,0.46550287692102743
863408,5,6,46,37,6,ER α=0.5,0.31975475871614023
876412,5,10,3,47,35,ER α=0.5,0.39193208587313666
885151,5,12,22,28,33,ER α=0.5,0.42970072224720096
904340,5,18,8,58,11,ER α=0.5,0.3815000247136844
911047,5,20,19,4,52,ER α=0.5,0.5523043716361113
968720,5,50,3,35,7,ER α=0.5,0.4770981982794007
974200,5,55,23,5,12,ER α=0.5,0.3817335862831934
982956,5,71,1,10,13,ER α=0.5,0.40749014880263673
993960,6,1,51,35,7,ER α=0.5,0.3209267375688195
997628,6,2,36,39,17,ER α=0.5,0.362264036999962
1000759,6,3,18,14,59,ER α=0.5,0.4241237074919108
1008382,6,5,7,67,15,ER α=0.5,0.3023968976063946
1011426,6,5,63,3,23,ER α=0.5,0.404084760765195
1013373,6,6,19,52,17,ER α=0.5,0.3478835660234535
1045014,6,15,3,51,25,ER α=0.5,0.41668295609688494
1048727,6,16,10,16,52,ER α=0.5,0.4928055475261418
1103629,6,39,28,9,18,ER α=0.5,0.4416397930542741
1110331,6,44,10,6,34,ER α=0.5,0.5907421231137391
1113600,6,46,36,5,7,ER α=0.5,0.33877630929141106
1117266,6,50,4,21,19,ER α=0.5,0.5146457242745349
1144395,7,2,29,11,51,ER α=0.5,0.47791821269975976
1155770,7,5,13,10,65,ER α=0.5,0.4304274500158273
1163215,7,7,7,25,54,ER α=0.5,0.4223969187770697
1165359,7,7,41,10,35,ER α=0.5,0.4753318250706879
1166266,7,7,69,7,10,ER α=0.5,0.29553719498104986
1176876,7,10,52,8,23,ER α=0.5,0.4202905034809495
1200270,7,18,2,29,44,ER α=0.5,0.498839641216213
1221653,7,26,3,26,38,ER α=0.5,0.5399676381581028
1234674,7,32,2,49,10,ER α=0.5,0.481703536274093
1238217,7,33,45,7,8,ER α=0.5,0.3472823204495197
1241749,7,35,39,13,6,ER α=0.5,0.35061896833664113
1255983,7,45,15,12,21,ER α=0.5,0.4873278198561079
1259751,7,48,26,10,9,ER α=0.5,0.3728929812021249
1289244,8,3,2,64,23,ER α=0.5,0.3408834415719488
1346014,8,19,28,39,6,ER α=0.5,0.3864132658039651
1363038,8,26,14,4,48,ER α=0.5,0.5987135763664572
1375549,8,32,12,13,35,ER α=0.5,0.5557154576500425
1413453,8,75,0,12,5,ER α=0.5,0.3107026405223826
1420101,9,1,14,59,17,ER α=0.5,0.3498754947375886
1445485,9,7,45,20,19,ER α=0.5,0.4056316118251182
1470824,9,15,18,45,13,ER α=0.5,0.4072141894792857
1480981,9,18,59,1,13,ER α=0.5,0.36743504638150604
1498851,9,26,5,22,38,ER α=0.5,0.5518096445468962
1508981,9,31,1,6,53,ER α=0.5,0.6608992335526422
1510318,9,31,30,9,21,ER α=0.5,0.4626748861375073
1545927,9,67,11,7,6,ER α=0.5,0.3050174367445259
1546263,9,68,13,4,6,ER α=0.5,0.2873029150592105
1549286,10,0,7,45,38,ER α=0.5,0.4098428101284973
1556299,10,1,55,23,11,ER α=0.5,0.363305045868699
1599676,10,14,4,62,10,ER α=0.5,0.4067777420223741
1615965,10,19,51,1,19,ER α=0.5,0.43397450582231173
1618551,10,20,51,10,9,ER α=0.5,0.3550123669304467
1635688,10,28,17,42,3,ER α=0.5,0.42938635437532136
1644121,10,32,49,5,4,ER α=0.5,0.3224714033606929
1652268,10,38,2,7,43,ER α=0.5,0.6610630206626011
1694193,11,3,78,3,5,ER α=0.5,0.2588849355328806
